form_wave,form_language,answer_time_min,creative,answer_time_median,answer_time_90,survey_duration,survey_created,survey_start_time,surveyid,userid,form_lang,answer_time_75,version,survey_name,shortcode,survey_end_time,seed,alphabet,articles,breastfed,child_0-6,child_age,child_name,children_registered,concern_12mo,concern_3yo,concern_5yo,confidence_deal_emotions,confidence_respond_misbehave,consent,control_bebbo_knowledge,control_bebbo_usage,count_to_ten,cry_separated,decrease_stress,default_tys,download_confirm_control,download_confirm_treatment,education,express_feelings,followup_permission,games,healthy_food_groups,hello_again,how_long_use,how_often_use,improve_family,intro_1,intro_1b_control,intro_1b_treatment,intro_3,joke_with_child,know_cog_dev,know_lang_dev,know_name_age,know_phys_dev,know_social_emotional_dev,know_when_vaccine,know_which_vaccine,language,laugh_together,location,lose_patience_punish,make_fun_of,meaning_of_no,movement,multiplication,name_colors,number_children,other_features,parent_age,parent_gender,parenting_stress_1,parenting_stress_2,past_24h_draw,past_24h_outside,past_24h_play,past_24h_read,past_24h_sing,past_24h_stories,payment_processing,personal_needs,physical_punishment,play_on_floor,relationship_to_child,say_name_age,scribble,simple_songs,sit_support,smile_around_child,snap_at_child,sort_pair,tell_story,thankyou_1,thankyou_early,thankyou_optout,thankyou_you_qualify,threaten,track_checkups,track_dev,track_growth,track_vax,using_bebbo
0,bulgarian,,Ad2_Bebbo_Recruitment,,,0.0,2023-05-25 17:11:17.651+00:00,2023-07-20 08:02:10.034000+00:00,1894ac26-efea-426a-9897-fd60fb6ecdaa,10026241760750045,,,3,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-07-20 08:02:10.034000+00:00,1052203428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,13.104,Ad2_Bebbo_Recruitment,13.104,13.104,13.104,2023-05-25 17:11:17.651+00:00,2023-07-24 21:48:11.163000+00:00,1894ac26-efea-426a-9897-fd60fb6ecdaa,10027431557296781,,13.104,3,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-07-24 21:48:24.267000+00:00,2367775364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,,Ad2_Bebbo_Recruitment,,,0.0,2023-05-25 17:11:17.651+00:00,2023-07-06 07:53:06.655000+00:00,1894ac26-efea-426a-9897-fd60fb6ecdaa,10029753983716351,,,3,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-07-06 07:53:06.655000+00:00,3726481239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,6.324,Ad2_Bebbo_Recruitment,11.739,18.628800000000005,710.835,2023-05-25 17:11:17.651+00:00,2023-08-09 18:20:34.950000+00:00,1894ac26-efea-426a-9897-fd60fb6ecdaa,10029769257063066,,14.68825,3,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-08-09 18:32:25.785000+00:00,1159092939,True,,,"Yes, 1",4 to 6 years,İdriz,,,If the 3-year-old child is becoming more independent,If the 5-year-old child shows signs of taking responsibility,Very confident,Confident,Yes,,,True,,Yes,,,Yes,Secondary,,,,,,,,Yes,OK,,OK,OK,Disagree,True,False,True,True,True,,,Turkish,Disagree,Smaller cities,Disagree,Strongly disagree,,,True,True,2,,26,Man,Almost always,Most of the times,Yes,Yes,Yes,Yes,Yes,Yes,,Most of the times,Agree,Disagree,Father,,,True,,Disagree,Disagree,,True,,,,OK,Disagree,,,,,
0,bulgarian,,Ad1_Bebbo_Recruitment,,,0.0,2023-04-10 16:21:41.757+00:00,2023-04-12 06:27:08.332000+00:00,288bfd33-e898-46d8-a762-95b59b24cd3e,10032534733439258,,,2,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-04-12 06:27:08.332000+00:00,386251890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,5.489,Ad2_Bebbo_Recruitment,9.622499999999999,26.521000000000004,2419985.826,2023-04-10 16:21:41.757+00:00,2023-05-14 12:37:04.393000+00:00,288bfd33-e898-46d8-a762-95b59b24cd3e,10033604689998619,,13.79925,2,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-06-11 12:50:10.219000+00:00,2020684072,,,Yes,"Yes, 1",0 to 6 months,Стефани,,If the 12-months-old show signs of being upset when separated from parents,If the 3-year-old child does not play side by side with other children,,Confident,Confident,Yes,,,,Wrong,No,,Yes,,Secondary,Wrong,OK,,Two,Start,,,Yes,OK,OK,,OK,Disagree,False,Not sure,,True,True,True,True,Bulgarian,Disagree,Smaller cities,Agree,Agree,Wrong,True,,,1,,30,Woman,Rarely,Most of the times,No,Yes,Yes,No,Yes,Yes,,Most of the times,Agree,Disagree,Other,True,Wrong,,True,Strongly disagree,Agree,True,,Продължете,,,OK,Agree,,,,,
2,bulgarian,5.468,Ad2_Bebbo_Recruitment,10.858,274.09000000000003,2569973.47,2023-07-01 19:14:13.375+00:00,2023-07-09 15:02:16.892000+00:00,1dab5bcf-6de6-4b58-8ab0-e8704c02ae5d,10033604689998619,,51.8465,2,UNICEF Bebbo Bulgaria v2,bebbobgfueng,2023-08-08 08:55:10.362000+00:00,2020684072,,,Yes,,6 to 12 months,Стефани,,If the 12-months-old show signs of being upset when separated from parents,If the 3-year-old child cannot recognize 10 letters of the alphabet,,Confident,Confident,,,,,True,No,Ок,,,,Wrong,,,Three,Start,,,No,,,,,Disagree,Not sure,False,,True,Not sure,True,True,,Agree,,Agree,Agree,Wrong,True,,,,,,,Rarely,Most of the times,No,Yes,Yes,Yes,Yes,Yes,,Most of the times,Do not agree,Disagree,Grandparent,Wrong,True,,True,Disagree,Agree,Wrong,,,,,OK,Agree,,,,,No
1,bulgarian,6.756,Ad2_Bebbo_Recruitment,9.119,22.17460000000001,3935.173,2023-06-01 17:32:31.013+00:00,2023-06-11 12:50:20.338000+00:00,bc07a546-b568-4323-9108-e47be46fba2c,10033604689998619,,13.67,13,UNICEF Bebbo Bulgaria v2,bebbobgendeng,2023-06-11 13:55:55.511000+00:00,2020684072,,,Yes,,6 to 12 months,Стефани,,If the 12-months-old cannot sit up on her own,If the 3-year-old child is becoming more independent,,Confident,Confident,,,,,Wrong,No,,,,,Wrong,OK,,Three,,,,No,,,,,Disagree,Not sure,True,,True,Not sure,True,True,,Disagree,,Disagree,Agree,Wrong,True,,,,,,,Rarely,Rarely,No,Yes,Yes,Yes,Yes,Yes,,Most of the times,Do not agree,Strongly disagree,Grandparent,Wrong,True,,True,Disagree,Disagree,True,,,,,OK,Agree,,,,,No
1,bulgarian,6.406,Ad2_Bebbo_Recruitment,10.632000000000001,20.096799999999998,148.397,2023-06-01 17:32:31.013+00:00,2023-06-08 08:25:37.941000+00:00,bc07a546-b568-4323-9108-e47be46fba2c,10035910179767812,,17.51275,13,UNICEF Bebbo Bulgaria v2,bebbobgendeng,2023-06-08 08:28:06.338000+00:00,3250629970,,,,,4 to 6 years,Петър,,,,,Very confident,Very confident,,,,,,,,,,,,,,,,,,,,,,,,True,True,,True,True,,,,,,,,,,,,,,,,Almost never,,,,,,,,,Almost always,Do not agree,,Mother,,,,,,,,,,,,,,,,,,No
0,bulgarian,4.523,Ad2_Bebbo_Recruitment,8.777,17.511,2420644.09,2023-04-10 16:21:41.757+00:00,2023-05-11 08:01:25.043000+00:00,288bfd33-e898-46d8-a762-95b59b24cd3e,10035910179767812,,10.1525,2,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-06-08 08:25:29.133000+00:00,3250629970,True,,,"Yes, 1",2 to 4 years,Петър,,,If the 3-year-old child cannot recognize 10 letters of the alphabet,If the 5-year-old child cannot count to ten,Very confident,Very confident,Yes,,,True,,No,,Yes,,Secondary,,OK,,,Start,,,Yes,OK,OK,,OK,Strongly disagree,True,True,True,True,True,,,Bulgarian,Strongly disagree,Large regional centers,Agree,Strongly agree,,,True,True,1,,25,Woman,Almost never,,Yes,Yes,Yes,Yes,Yes,Yes,,Most of the times,Do not agree at all,Strongly disagree,Mother,,,True,,Strongly disagree,Disagree,,True,,,,OK,Agree,,,,,
0,bulgarian,7.592,Ad1_Bebbo_Recruitment,9.887,29.696199999999997,136.05,2023-04-10 16:21:41.757+00:00,2023-05-20 11:21:04.697000+00:00,288bfd33-e898-46d8-a762-95b59b24cd3e,10036155383076549,,20.951,2,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-05-20 11:23:20.747000+00:00,3956205459,,,,No,,,,,,,,,Yes,,,,,,,,,Secondary,,,,,,,,,OK,,OK,OK,,,,,,,,,,,Large regional centers,,,,,,,2,,34,Woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,6.193,Ad2_Bebbo_Recruitment,10.282499999999999,16.005099999999995,116.718,2023-05-25 17:11:17.651+00:00,2023-07-21 14:37:06.972000+00:00,1894ac26-efea-426a-9897-fd60fb6ecdaa,10041258605946408,,12.64975,3,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-07-21 14:39:03.690000+00:00,264158594,,,,"Yes, more than 1",,,,,,,,,Yes,,,,,,,,,Basic,,,,,,,,,OK,OK,,OK,,,,,,,,,Bulgarian,,Capital,,,,,,,2,,32,Woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,7.664,Ad3_Bebbo_Recruitment,24.622,78.36660000000002,154.969,2023-03-27 00:48:40.598+00:00,2023-04-09 08:40:37.027000+00:00,ba7aee21-e433-4cb8-abb5-afbc4f457fb4,10043125282379876,,48.825,1,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-04-09 08:43:11.996000+00:00,738713143,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,OK,,OK,OK,,,,,,,,,,,,,,,,,,,,"грубо е така за начало ..нали проучвате мнение , грижа  за децата ..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,20.111,Ad3_Bebbo_Recruitment,25.5245,29.8553,51.049,2023-04-10 16:21:41.757+00:00,2023-05-05 18:54:22.640000+00:00,288bfd33-e898-46d8-a762-95b59b24cd3e,10047389081953680,,28.23125,2,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-05-05 18:55:13.689000+00:00,2902870795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,OK,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,8.038,Ad3_Bebbo_Recruitment,8.038,8.038,8.038,2023-04-10 16:21:41.757+00:00,2023-04-10 18:11:11.160000+00:00,288bfd33-e898-46d8-a762-95b59b24cd3e,10058549350837584,,8.038,2,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-04-10 18:11:19.198000+00:00,2834329793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,,Ad2_Bebbo_Recruitment,,,0.0,2023-05-25 17:11:17.651+00:00,2023-08-05 22:45:34.267000+00:00,1894ac26-efea-426a-9897-fd60fb6ecdaa,10059051174135479,,,3,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-08-05 22:45:34.267000+00:00,3022880581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,7.943,Ad2_Bebbo_Recruitment,10.5975,30.9634,168.867,2023-04-10 16:21:41.757+00:00,2023-05-12 20:06:01.339000+00:00,288bfd33-e898-46d8-a762-95b59b24cd3e,10064166383609624,,28.31325,2,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-05-12 20:08:50.206000+00:00,1531108470,,,,No,,,,,,,,,Yes,,,,,,,,,Secondary,,,,,,,,,OK,OK,,OK,,,,,,,,,,,Capital,,,,,,,3,,30,Woman,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
1,bulgarian,8.252,Ad1_Bebbo_Recruitment,15.353,50.01030000000006,1026.68,2023-06-01 17:32:31.013+00:00,2023-06-15 06:58:48.538000+00:00,bc07a546-b568-4323-9108-e47be46fba2c,10078783955480549,,21.861,13,UNICEF Bebbo Bulgaria v2,bebbobgendeng,2023-06-15 07:15:55.218000+00:00,2664528594,,,Yes,,12 to 24 months,Нел,,If the 12-months-old cannot pick up very small objects,If the 3-year-old child does not play side by side with other children,,Very confident,Very confident,,,,,True,No,,,,,True,,,Five,,,,Yes,,,,,Disagree,True,True,,True,True,True,True,,Strongly disagree,,Agree,Strongly agree,Wrong,True,,,,,,,Rarely,Most of the times,No,Yes,Yes,Yes,Yes,No,,Rarely,Do not agree,Strongly disagree,Mother,True,True,,Wrong,Strongly disagree,Agree,True,,,,,OK,Strongly agree,,,,,No
0,bulgarian,11.401,Ad1_Bebbo_Recruitment,17.825,75.32499999999999,2479791.041,2023-04-10 16:21:41.757+00:00,2023-05-17 14:08:42.711000+00:00,288bfd33-e898-46d8-a762-95b59b24cd3e,10078783955480549,,29.707,2,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-06-15 06:58:33.752000+00:00,2664528594,,,Yes,"Yes, more than 1",0 to 6 months,Християн,,If the 12-months-old cannot sit up on her own,If the 3-year-old child does not play side by side with other children,,Very confident,Very confident,Yes,,,,True,No,,Yes,,Secondary,True,OK,,Not applicable (child is less than 6 months old),Start,,,Yes,OK,OK,,OK,Disagree,True,True,,True,True,True,Not sure,Bulgarian,Disagree,Village,Strongly agree,Strongly agree,Wrong,True,,,2,,24,Woman,Rarely,Almost always,No,Yes,Yes,No,Yes,Yes,,Rarely,Do not agree,Disagree,Mother,True,True,,Wrong,Strongly disagree,Agree,Wrong,,,,,OK,Agree,,,,,
0,bulgarian,8.067,Ad2_Bebbo_Recruitment,11.933,66.71520000000002,292.001,2023-05-25 17:11:17.651+00:00,2023-08-04 16:10:23.570000+00:00,1894ac26-efea-426a-9897-fd60fb6ecdaa,10078785515466610,,12.863,3,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-08-04 16:15:15.571000+00:00,2308989238,,,,,,,,,,,,,Yes,,,,,,,,,Secondary,,,,,,,,,OK,OK,,OK,,,,,,,,,,,Large regional centers,,,,,,,0,,1,Woman,,,,,,,,,,,,,,,,,,,,,,,ЧАО,,,,,,,,
0,bulgarian,,Ad2_Bebbo_Recruitment,,,0.0,2023-04-10 16:21:41.757+00:00,2023-05-02 19:57:04.429000+00:00,288bfd33-e898-46d8-a762-95b59b24cd3e,10083171955042141,,,2,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-05-02 19:57:04.429000+00:00,2647595781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,5.519,Ad1_Bebbo_Recruitment,8.482,17.1534,96.803,2023-05-25 17:11:17.651+00:00,2023-06-11 14:45:29.059000+00:00,1894ac26-efea-426a-9897-fd60fb6ecdaa,10083250555022116,,12.963,3,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-06-11 14:47:05.862000+00:00,2578967153,,,,No,,,,,,,,,Yes,,,,,,,,,Secondary,,,,,,,,,OK,,OK,OK,,,,,,,,,,,Smaller cities,,,,,,,1,,41,Woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,19.818,Ad2_Bebbo_Recruitment,20.185000000000002,20.4786,40.37,2023-04-10 16:21:41.757+00:00,2023-05-13 09:28:33.776000+00:00,288bfd33-e898-46d8-a762-95b59b24cd3e,10084462884913179,,20.3685,2,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-05-13 09:29:14.146000+00:00,540312209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,OK,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,7.156,Ad2_Bebbo_Recruitment,11.624,23.7578,129.958,2023-03-27 00:48:40.598+00:00,2023-04-01 08:51:28.468000+00:00,ba7aee21-e433-4cb8-abb5-afbc4f457fb4,10092576677434944,,15.755,1,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-04-01 08:53:38.426000+00:00,3531615180,,,,No,,,,,,,,,Yes,,,,,,,,,Secondary,,,,,,,,,OK,OK,,OK,,,,,,,,,,,Capital,,,,,,,1,,18,Woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,6.795,Ad2_Bebbo_Recruitment,11.907,22.0802,118.975,2023-04-10 16:21:41.757+00:00,2023-05-16 05:40:48.881000+00:00,288bfd33-e898-46d8-a762-95b59b24cd3e,10093386104020755,,16.572,2,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-05-16 05:42:47.856000+00:00,3373870541,,,,No,,,,,,,,,Yes,,,,,,,,,Secondary,,,,,,,,,OK,,OK,OK,,,,,,,,,,,Capital,,,,,,,1,,31,Woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,5.322,Ad2_Bebbo_Recruitment,9.1145,13.685399999999998,214.452,2023-05-25 17:11:17.651+00:00,2023-08-04 15:26:29.085000+00:00,1894ac26-efea-426a-9897-fd60fb6ecdaa,10093803570637510,,10.517,3,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-08-04 15:30:03.537000+00:00,2325300914,,,,"Yes, 1",0 to 6 months,Марин,,,,,Confident,Confident,Yes,,,,,,,,,University,,,,,,,,,OK,OK,,OK,,True,True,,True,True,True,True,Bulgarian,,Capital,,,,,,,1,,24,Woman,Almost never,,,,,,,,,Rarely,Do not agree,,Mother,,,,,,,,,,,,,,,,,,
0,bulgarian,,Ad2_Bebbo_Recruitment,,,0.0,2023-04-10 16:21:41.757+00:00,2023-05-15 07:06:31.549000+00:00,288bfd33-e898-46d8-a762-95b59b24cd3e,10094722307220060,,,2,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-05-15 07:06:31.549000+00:00,1670575162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,79385.198,Ad2_Bebbo_Recruitment,79385.198,79385.198,79385.198,2023-05-25 17:11:17.651+00:00,2023-07-04 18:13:44.877000+00:00,1894ac26-efea-426a-9897-fd60fb6ecdaa,10095464203804811,,79385.198,3,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-07-05 16:16:50.075000+00:00,2918027981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,bulgarian,8.509,Ad2_Bebbo_Recruitment,19.38,434.03340000000037,2057.211,2023-05-25 17:11:17.651+00:00,2023-07-31 13:56:04.595000+00:00,1894ac26-efea-426a-9897-fd60fb6ecdaa,23863440529914003,,45.312,3,UNICEF Bebbo Bulgaria v2,bebbobg2basebul,2023-07-31 14:30:21.806000+00:00,3476554667,,,,No,,,,,,,,,Yes,,,,,,,,,University,,,,,,,,,OK,,OK,OK,,,,,,,,,,,Smaller cities,,,,,,,2,,27,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
