variable,question_type,question,Grouping of constructs,construct_variable,Notes for analysis,answers,Correct,description,age group,version,Domain,Subdomain
improve_family,multiple_choice,Have you recently (in the last week) done something to improve the functioning of your family?,,,,"Yes
No",Yes,,both,both,Practices,Family care
statement_5,statement,"Keep going! There are only a few questions remaining.

As a reminder, please answer honestly. Your responses are anonymous.",,,,,,"seed_2 (50% skip to left_alone, 50% skip to statement_6)",both,both,Practices,
past_24h_read,multiple_choice,"In the past 24 hours, did you read books or look at picture books with {{field:child_name}}?",,practices_24,,"Yes
No",Yes,,both,both,Practices,ECD engagement
past_24h_stories,multiple_choice,"In the past 24 hours, did you tell stories with {{field:child_name}}?",,practices_24,,"Yes
No",Yes,,both,both,Practices,ECD engagement
past_24h_sing,multiple_choice,"In the past 24 hours, did you sing songs (including lullabies) to or with {{field:child_name}}?",,practices_24,,"Yes
No",Yes,,both,both,Practices,ECD engagement
past_24h_outside,multiple_choice,"In the past 24 hours, did you take {{field:child_name}} outside the home?",,practices_24,,"Yes
No",Yes,,both,both,Practices,ECD engagement
past_24h_play,multiple_choice,"In the past 24 hours, did you play with {{field:child_name}}?",,practices_24,,"Yes
No",yes,,both,both,Practices,ECD engagement
past_24h_draw,multiple_choice,"In the past 24 hours, did you name, count or draw things with or for {{field:child_name}}?",,practices_24,,"Yes
No",Yes,,both,both,Practices,ECD engagement
statement_0,statement,Adults use certain ways to teach children the right behavior or to address a behavior problem.,,,,,,,both,both,Practices,
statement_6,statement,Do you agree or disagree with the following statements?,,,,,,,both,both,Practices,
laugh_together,multiple_choice,"When {{field:child_name}} and I play together, we laugh a lot.",,practices_agree,,"-A. Strongly disagree
-B. Disagree
-C. Agree
-D. Strongly agree","C, D",,both,both,Practices,Responsive parenting PA
joke_with_child,multiple_choice,I joke around with {{field:child_name}}.,,practices_agree,,"-A. Strongly disagree
-B. Disagree
-C. Agree
-D. Strongly agree","C, D",,both,both,Practices,Responsive parenting PA
smile_around_child,multiple_choice,I often smile when I'm around {{field:child_name}}.,,practices_agree,,"-A. Strongly disagree
-B. Disagree
-C. Agree
-D. Strongly agree","C, D",,both,both,Practices,Responsive parenting PA
play_on_floor,multiple_choice,{{field:child_name}} and I play together on the floor.,,practices_agree,,"-A. Strongly disagree
-B. Disagree
-C. Agree
-D. Strongly agree","C, D",,both,both,Practices,Responsive parenting PA
snap_at_child,multiple_choice,I snap at {{field:child_name}} when he/she gets on my nerves.,,practices_hostility,,"-A. Strongly disagree
-B. Disagree
-C. Agree
-D. Strongly agree","A, B",,both,both,Practices,Responsive parenting Hostility
lose_patience_punish,multiple_choice,"When {{field:child_name}} upsets me, I lose my patience and punish him/her more severely than I really mean to.",,practices_hostility,,"-A. Strongly disagree
-B. Disagree
-C. Agree
-D. Strongly agree","A, B",,both,both,Practices,Responsive parenting Hostility
threaten,multiple_choice,"When {{field:child_name}} does something wrong, I sometimes threaten him/her.",,practices_hostility,,"-A. Strongly disagree
-B. Disagree
-C. Agree
-D. Strongly agree","A, B",,both,both,Practices,Responsive parenting Hostility
make_fun_of,multiple_choice,I sometimes make fun of {{field:child_name}}.,,practices_hostility,,"-A. Strongly disagree
-B. Disagree
-C. Agree
-D. Strongly agree","A, B",,both,both,Practices,Responsive parenting Hostility
download_bebbo_treatment,statement,"Thank you! That's all the questions we have for now. 

There is just one more step to qualify for the Visa gift card of 430 RSD. 

Please download Bebbo, the free parenting app, and discover how it can help you. Using Bebbo regularly can improve your interactions with your children and help you support their development better! You can do so by clicking the link below:

https://bebboapp.page.link/?link=https://bebbo.app/?facebook_id={{hidden:id}}&apn=org.unicef.ecar.bebbo&amv=14&ibi=org.unicef.ecar.bebbo&isi=1588918146&utm_campaign=evaluation+study&utm_source=vlab",,,,,,if treatment (seed=1),both,both,,
download_bebbo_control,statement,"Thank you! That's all the questions we have for now. 

There is just one more step to qualify for the Visa gift card of 430 RSD. 

Please visit the following free parenting website and discover how it can help you. Using this website regularly  your interactions with your children and help you support their development better! You can do so by clicking the link below:

https://9meseca.bg/",,,,,,if control,,,,
download_confirm_treatment,multiple_choice,Did you download the app?,,,,"Yes
No",,,both,both,,
download_confirm_control,multiple_choice,Да ли сте посетили веб локацију?,,,,"Yes
No",,,,,,
thankyou_you_qualify,multiple_choice,Thank you! You have qualified to receive a Visa gift card in the amount of 430 RSD!,,,,OK,,,both,both,,
payment_processing,statement,Please wait a few minutes. You should receive the gift card soon.,,,,,,"{
  ""type"": ""wait"",
  ""wait"": {
    ""type"": ""external"",
    ""value"": {
      ""type"": ""payment:http"",
      ""id"": ""giftcard_1""
    }
  },
  ""payment"": {
    ""provider"": ""http"",
    ""details"": {
      ""id"": ""giftcard_1"",
      ""method"": ""POST"",
      ""url"": ""https://www.tremendous.com/api/v2/orders"",
      ""headers"": {
        ""Authorization"": ""Bearer << TREMENDOUS_API_KEY >>"",
        ""Content-Type"": ""application/json""
      },
      ""body"": {
        ""payment"": { ""funding_source_id"": ""0KTUESSOFCBD"" },
        ""rewards"": [{
          ""value"": { ""denomination"": 4.0, ""currency_code"": ""USD"" },
          ""delivery"": { ""method"": ""LINK"" },
          ""recipient"": { ""name"": ""Study Participant"" },
          ""products"": [""IUAQ1BXDVSH7""]
        }]
      },
      ""errorMessage"": ""errors.message"",
      ""responsePath"": ""order.rewards.0.delivery.link|@tostr""
    }
  }
}",both,both,,
payment_accepted,statement,Thanks for waiting. Here it is: {{hidden:e_payment_http_response}},,,,,,,both,both,,
payment_failed,statement,"Sorry, we had an error. Please try again. {{hidden:e_payment_http_error_message}}",,,,,,,,,,
followup_permission,multiple_choice,Thank you for your time! We would like to ask you some more questions in a few weeks time. Can we contact you again in a few weeks?,,,,OK,,,both,both,,
thankyou_1,statement,"Great, thanks! We'll reach out again in a few weeks.",,,,,,"{
 ""type"": ""wait"",
 ""responseMessage"": ""Жао нам је, сада не можемо да одговоримо ни на једно питање, али ћемо ускоро поново писати са још питања. Хвала вам!"",
 ""wait"": {
 ""type"": ""timeout"",
 ""value"": {
 ""type"": ""relative"",
 ""timeout"": ""28 days""
 }
 }
}",both,both,,
hello_again,multiple_choice,"Hello again! Would you like to continue taking this survey? It will take 10-15 minutes of your time to complete and you will receive a gift card in the amount of 430 RSD. if you complete all the questions. Click ""Start"" to take the survey.",,,,Start,,,both,both,,
stitch_endline,statement,"Great, thanks!",,,,,,"{""type"": ""stitch"", ""stitch"": {""form"": ""bebborsendeng""}}",both,both,,
